,,,,
Umsätze Girokonto,Zeitraum: 180 Tage,,,
08.12.2025,08.12.2025,Lastschrift / Belastung,"Auftraggeber: Susies Laden Buchungstext: Susies Laden, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-08 00:00:00 Ref. J7GOITA21UJLGZZI/98540","-20,06"
07.12.2025,06.12.2025,Lastschrift / Belastung,"Auftraggeber: Shell Buchungstext: Shell, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-07 00:00:00 Ref. 9B7495NVH96Y7PYG/86310","-79,86"
05.12.2025,04.12.2025,Lastschrift / Belastung,"Auftraggeber: FlixBus Buchungstext: FlixBus, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-05 00:00:00 Ref. KLUQYKJYLZR3DWY7/71637","-73,32"
04.12.2025,04.12.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE95526631145515266957 BLZ/BIC: COBADEHD055  Buchungstext: Sparen Ref. QDSOTIGPPVGVFOL1/15111","334,32"
03.12.2025,01.12.2025,Lastschrift / Belastung,"Auftraggeber: IKEA Buchungstext: IKEA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-03 00:00:00 Ref. O9XXLGH9LVQQ8ULH/51331","-96,76"
01.12.2025,01.12.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE11089921912636388428 BLZ/BIC: CSDBDE71XXX  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. LXN6MNYO3DDX244R/60798","85,27"
30.11.2025,29.11.2025,Lastschrift / Belastung,"Auftraggeber: CINEVISION FILMTHEATER Buchungstext: CINEVISION FILMTHEATER, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-30 00:00:00 Ref. N9AB23VHWIQYTBX3/46798","-101,94"
29.11.2025,29.11.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE39599152083428095580 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Versicherung Ref. 2W2MGCT622CA98CS/34303","-629,31"
29.11.2025,27.11.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 9415508162035/PP.2853.PP/. Digital Goods Ref. L24JIL3ZDGKMWOTC/51699","-23,71"
28.11.2025,28.11.2025,Lastschrift / Belastung,"Auftraggeber: Amazon Buchungstext: Amazon, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-28 00:00:00 Ref. B8L5RYFYXEQ7WJ25/50337","-9,71"
27.11.2025,25.11.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE77294432473738419546 BLZ/BIC: DEUTDEFFVAC  Buchungstext: ETF Sparplan Ref. 8UIEMKSP42VWQWMV/53795","356,04"
20.11.2025,20.11.2025,Lastschrift / Belastung,"Auftraggeber: REWE Berlin-Kreuzberg Buchungstext: REWE Berlin-Kreuzberg, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-20 00:00:00 Ref. 59FBS3T3GU1J5QUQ/19221","-172,42"
20.11.2025,18.11.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-20 00:00:00 Ref. DIHKE3RI88K6Z5OB/2099","-64,87"
18.11.2025,18.11.2025,Lastschrift / Belastung,"Auftraggeber: Kleinanzeigen De Buchungstext: Kleinanzeigen De, Kleinmachnow DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-18 00:00:00 Ref. YKE0P6435W025FVI/68755","-72,39"
17.11.2025,17.11.2025,Lastschrift / Belastung,"Auftraggeber: H&M Buchungstext: H&M, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-17 00:00:00 Ref. C4CN8LM7SNQ0EDVM/91871","-109,29"
15.11.2025,15.11.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 4312630779188/PP.2853.PP/. eTail.Market OU Ref. JXTDM2E7X8D1EXOV/18292","-45,05"
14.11.2025,14.11.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE16876322680726274216 BLZ/BIC: CSDBDE71XXX  Buchungstext: Sparen Ref. UVUD6KJB4CTMF0DE/50626","-880,77"
12.11.2025,11.11.2025,Lastschrift / Belastung,"Auftraggeber: BackWerk Buchungstext: BackWerk, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-12 00:00:00 Ref. ZZIUOEZNQ8R1HPUW/70611","-100,23"
11.11.2025,11.11.2025,Lastschrift / Belastung,"Auftraggeber: ALDI Buchungstext: ALDI, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-11 00:00:00 Ref. LAPHSFJ8OLRD988R/97321","-151,09"
09.11.2025,07.11.2025,Wertpapiere," Buchungstext: Steuerbelastung auf Vorabpauschale gem. § 18 InvStG Depotbestand: 00 Ref. EHIELVQTP90A5HGA/24684","-135,71"
08.11.2025,08.11.2025,Lastschrift / Belastung,"Auftraggeber: DM-Drogerie Markt Buchungstext: DM-Drogerie Markt, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-08 00:00:00 Ref. IG82XT33TVWBATAM/75664","-73,83"
08.11.2025,06.11.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 2330382501246/PP.2853.PP/. Ihr Einkauf bei Ref. OUEOB82DMZ1BPIA3/35228","-25,87"
07.11.2025,05.11.2025,Lastschrift / Belastung,"Auftraggeber: Apple.com/bill Buchungstext: Apple.com/bill, Dublin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-07 00:00:00 Ref. V6H6339JQIT9QFKO/32819","-139,18"
05.11.2025,05.11.2025,Lastschrift / Belastung,"Auftraggeber: Spotify Buchungstext: Spotify, Stockholm DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-05 00:00:00 Ref. XXAY8TWLK7D81JUZ/82655","-109,73"
02.11.2025,01.11.2025,Lastschrift / Belastung,"Auftraggeber: DM-Drogerie Markt Buchungstext: DM-Drogerie Markt, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-02 00:00:00 Ref. RFE6XFKBF7XYC52A/56034","-96,34"
30.10.2025,30.10.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 2455071090366/PP.2853.PP/. Digital Goods Ref. ON4LTOGOC14QS60J/61328","-176,93"
29.10.2025,28.10.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE69001144760437273507 BLZ/BIC: CSDBDE71XXX  Buchungstext: Taschengeld :) Ref. KI3KNF6539LSYZ43/66835","122,21"
28.10.2025,27.10.2025,Lastschrift / Belastung,"Auftraggeber: Lidl sagt Danke Buchungstext: Lidl sagt Danke, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-28 00:00:00 Ref. I9HKUDO0H7IRV6UF/96289","-79,99"
27.10.2025,26.10.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-27 00:00:00 Ref. BKK9XJBUTXV319VC/35063","-165,57"
27.10.2025,25.10.2025,Lastschrift / Belastung,"Auftraggeber: DM-Drogerie Markt Buchungstext: DM-Drogerie Markt, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-27 00:00:00 Ref. GK9J26N7YKUPLMDR/75605","-32,84"
23.10.2025,22.10.2025,Wertpapiere," Buchungstext: Steuerbelastung auf Vorabpauschale gem. § 18 InvStG Depotbestand: 00 Ref. HOLQH6M1304N8JM4/79575","-165,67"
22.10.2025,21.10.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: PayPal Europe S.a.r.l. et Cie S.C.A, Luxembourg DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-22 00:00:00 Ref. 2K8XKO9600JWZQIU/89484","-112,98"
21.10.2025,21.10.2025,Lastschrift / Belastung,"Auftraggeber: Susies Laden Buchungstext: Susies Laden, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-21 00:00:00 Ref. K1GV3XTJ8VLREFGW/18023","-167,18"
19.10.2025,17.10.2025,Lastschrift / Belastung,"Auftraggeber: CINEVISION FILMTHEATER Buchungstext: CINEVISION FILMTHEATER, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-19 00:00:00 Ref. BUUID5WJLW8YFPXY/17528","-22,26"
18.10.2025,18.10.2025,Lastschrift / Belastung,"Auftraggeber: CINEVISION FILMTHEATER Buchungstext: CINEVISION FILMTHEATER, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-18 00:00:00 Ref. 9PAZVLLJ6I6FGDHR/32305","-120,54"
17.10.2025,16.10.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 6390663532671/PP.2853.PP/. Ihr Einkauf bei Ref. YMACS8TVE0M60B0W/77303","-32,16"
14.10.2025,13.10.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-14 00:00:00 Ref. 14EX0MENV4FPFSBQ/52713","-99,92"
12.10.2025,12.10.2025,Lastschrift / Belastung,"Auftraggeber: CINEVISION FILMTHEATER Buchungstext: CINEVISION FILMTHEATER, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-12 00:00:00 Ref. A0YC8KRUTDDSSC05/20211","-78,63"
12.10.2025,12.10.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE31972474963293449809 BLZ/BIC: CSDBDE71XXX  Buchungstext: Uebertrag auf Girokonto Ref. SFTL5JAZ5QZYHWNH/3055","910,87"
09.10.2025,09.10.2025,Lastschrift / Belastung,"Auftraggeber: REWE Berlin-Kreuzberg Buchungstext: REWE Berlin-Kreuzberg, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-09 00:00:00 Ref. 2EJS427D1JMVTFIR/80254","-1,36"
06.10.2025,04.10.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE55476917447340073231 BLZ/BIC: DEUTDEFFVAC  Buchungstext: ETF Sparplan Ref. V46PPCH7IAK6IO9J/80224","563,61"
05.10.2025,05.10.2025,Lastschrift / Belastung,"Auftraggeber: REWE Berlin-Kreuzberg Buchungstext: REWE Berlin-Kreuzberg, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-05 00:00:00 Ref. 6YL9BLSLT8ZDDUQ0/52669","-49,84"
03.10.2025,02.10.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE49191804520179152880 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Taschengeld :) Ref. S1O0X3AU4J4676A9/1718","243,02"
29.09.2025,29.09.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 2349920816902/PP.2853.PP/. eTail.Market OU Ref. GUSPBLZG6J0039JZ/52595","-113,06"
27.09.2025,25.09.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE83994031821954218098 BLZ/BIC: COBADEHD055  Buchungstext: Uebertrag auf Girokonto Ref. O50AOP1XP58ATR7V/21178","1253,44"
26.09.2025,26.09.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE10519367970338978986 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Sparen Ref. CW5QBGPPBP0DIS5R/64514","-511,63"
22.09.2025,21.09.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE82191179801953305943 BLZ/BIC: CSDBDE71XXX  Buchungstext: ETF Sparplan Ref. CREQZNM4408Q4C09/21059","245,70"
21.09.2025,19.09.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE30906578641679714349 BLZ/BIC: CSDBDE71XXX  Buchungstext: Miete Ref. 3OYKU4RC6CHFWOI1/65398","84,12"
18.09.2025,18.09.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: PayPal Europe S.a.r.l. et Cie S.C.A, Luxembourg DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-09-18 00:00:00 Ref. QB5IB1XTH6KTW3RJ/89546","-60,72"
18.09.2025,18.09.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 5292404695900/PP.2853.PP/. eTail.Market OU Ref. NYT76U2LPJDJY8B9/88327","-158,26"
17.09.2025,17.09.2025,Lastschrift / Belastung,"Auftraggeber: ALDI Buchungstext: ALDI, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-09-17 00:00:00 Ref. ITTHSE7O2NXD0KQZ/25920","-23,06"
17.09.2025,16.09.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE00490550877879013316 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Miete Ref. 43BXK412ZL9L70DB/68525","-511,62"
13.09.2025,13.09.2025,Lastschrift / Belastung,"Auftraggeber: Apple.com/bill Buchungstext: Apple.com/bill, Dublin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-09-13 00:00:00 Ref. WBT5FH5GSQV75QNQ/67321","-138,04"
13.09.2025,11.09.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE06440684405638635836 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Sparen Ref. UMFNJSU0YK78SYUO/46828","-700,65"
12.09.2025,12.09.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE02015126160316482367 BLZ/BIC: COBADEHD055  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. IZ9QEGBVGON3HYK0/33325","626,24"
12.09.2025,11.09.2025,Lastschrift / Belastung,"Auftraggeber: Kleinanzeigen De Buchungstext: Kleinanzeigen De, Kleinmachnow DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-09-12 00:00:00 Ref. NBTFJISE2Z7VBI8Z/66650","-91,78"
10.09.2025,10.09.2025,Lastschrift / Belastung,"Auftraggeber: Spotify Buchungstext: Spotify, Stockholm DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-09-10 00:00:00 Ref. H3OAA7GHHTI9S9YD/71216","-63,38"
08.09.2025,08.09.2025,Lastschrift / Belastung,"Auftraggeber: Spotify Buchungstext: Spotify, Stockholm DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-09-08 00:00:00 Ref. 05FQNQ70QUXLR2SJ/16667","-2,56"
05.09.2025,05.09.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE65967010794837239310 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Taschengeld :) Ref. 6DSOG6M8I9M033FH/37580","-612,74"
04.09.2025,04.09.2025,Wertpapiere," Buchungstext: Steuerbelastung auf Vorabpauschale gem. § 18 InvStG Depotbestand: 00 Ref. Q847HBLQ5UWYDI8V/85941","-338,01"
02.09.2025,02.09.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 6334021874642/PP.2853.PP/. eTail.Market OU Ref. BU063TK7FAKDCWHS/48828","-23,77"
01.09.2025,01.09.2025,Lastschrift / Belastung,"Auftraggeber: Kleinanzeigen De Buchungstext: Kleinanzeigen De, Kleinmachnow DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-09-01 00:00:00 Ref. VAOX2Z5RAKWJQ79L/46144","-65,93"
31.08.2025,31.08.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE47164143153746737617 BLZ/BIC: COBADEHD055  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. BIHVOJ25A5E4A30P/95533","-890,41"
28.08.2025,27.08.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE12793152282855167294 BLZ/BIC: CSDBDE71XXX  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. ZNH4ZQ8ZWVMJSKTP/24893","-1006,23"
27.08.2025,27.08.2025,Lastschrift / Belastung,"Auftraggeber: REWE Berlin-Kreuzberg Buchungstext: REWE Berlin-Kreuzberg, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-08-27 00:00:00 Ref. N3ELXIG2UZKHSCNA/49496","-145,07"
22.08.2025,22.08.2025,Lastschrift / Belastung,"Auftraggeber: CINEVISION FILMTHEATER Buchungstext: CINEVISION FILMTHEATER, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-08-22 00:00:00 Ref. SOAGSBQJOR1MPRYS/9390","-114,22"
17.08.2025,16.08.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE23201571957097770353 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Uebertrag auf Girokonto Ref. 83J3XXOZS0XL184I/82919","-864,57"
16.08.2025,16.08.2025,Lastschrift / Belastung,"Auftraggeber: Netflix.com Buchungstext: Netflix.com, Amsterdam DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-08-16 00:00:00 Ref. 53Y6VUCVWMAM2Y1D/15757","-66,06"
15.08.2025,15.08.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: PayPal Europe S.a.r.l. et Cie S.C.A, Luxembourg DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-08-15 00:00:00 Ref. WKSGXVQVV0VC6JB2/4711","-92,07"
12.08.2025,11.08.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE56596724511842775191 BLZ/BIC: CSDBDE71XXX  Buchungstext: Taschengeld :) Ref. IRSIH13FYONKIWEF/58704","114,93"
11.08.2025,11.08.2025,Lastschrift / Belastung,"Auftraggeber: Kleinanzeigen De Buchungstext: Kleinanzeigen De, Kleinmachnow DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-08-11 00:00:00 Ref. GN5XGM6P4YASEQOT/97977","-149,73"
10.08.2025,09.08.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE94954959134639232385 BLZ/BIC: CSDBDE71XXX  Buchungstext: ETF Sparplan Ref. 7CRCKZZQ2TXUNC9J/4587","-1009,38"
,,,,
Alter Kontostand,"1609,67 EUR",,,
