,,,,
Umsätze Girokonto,Zeitraum: 180 Tage,,,
29.01.2026,29.01.2026,Lastschrift / Belastung,"Auftraggeber: Lidl sagt Danke Buchungstext: Lidl sagt Danke, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-29 00:00:00 Ref. 4MYPE46AEXL68J0N/44922","-98,24"
29.01.2026,28.01.2026,Lastschrift / Belastung,"Auftraggeber: H&M Buchungstext: H&M, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-29 00:00:00 Ref. 4YRP5GE094D6RUPW/47003","-47,25"
28.01.2026,28.01.2026,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: PayPal Europe S.a.r.l. et Cie S.C.A, Luxembourg DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-28 00:00:00 Ref. 8NBIQUWRXZE1HM38/38271","-54,82"
28.01.2026,27.01.2026,Lastschrift / Belastung,"Auftraggeber: Deutsche Bahn Buchungstext: Deutsche Bahn, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-28 00:00:00 Ref. 4N5PP3XVKVZRGOL0/82956","-61,57"
28.01.2026,26.01.2026,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE56313456478288501617 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. YFC2HTMQWYUIXNS2/91243","-295,96"
26.01.2026,26.01.2026,Lastschrift / Belastung,"Auftraggeber: Shell Buchungstext: Shell, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-26 00:00:00 Ref. RH7LAY64YFDS0DJI/38801","-88,57"
26.01.2026,25.01.2026,Lastschrift / Belastung,"Auftraggeber: Netflix.com Buchungstext: Netflix.com, Amsterdam DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-26 00:00:00 Ref. 3CPUDRL90AOBT328/83564","-83,75"
26.01.2026,24.01.2026,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE70326166443409490342 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. UUJMIYQFY751YW7N/28948","-439,83"
24.01.2026,24.01.2026,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-24 00:00:00 Ref. BRJNM2L44Y9IK01L/95526","-70,40"
23.01.2026,22.01.2026,Lastschrift / Belastung,"Auftraggeber: DM-Drogerie Markt Buchungstext: DM-Drogerie Markt, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-23 00:00:00 Ref. 7S55J2O7S3KKV9RF/70593","-62,36"
23.01.2026,22.01.2026,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE69145098459157136853 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. OMK2EV5S4TL0THHZ/89996","-174,88"
22.01.2026,21.01.2026,Lastschrift / Belastung,"Auftraggeber: CINEVISION FILMTHEATER Buchungstext: CINEVISION FILMTHEATER, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-22 00:00:00 Ref. MADO8E7FLQHRRPZL/39357","-114,68"
21.01.2026,20.01.2026,Lastschrift / Belastung,"Auftraggeber: Spotify Buchungstext: Spotify, Stockholm DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-21 00:00:00 Ref. QHKSWVA984UVKYRM/36240","-43,77"
20.01.2026,20.01.2026,Lastschrift / Belastung,"Auftraggeber: ALDI Buchungstext: ALDI, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-20 00:00:00 Ref. R14FFYVNVQJT7YE5/98420","-88,25"
20.01.2026,19.01.2026,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE70562352853686067800 BLZ/BIC: CSDBDE71XXX  Buchungstext: Taschengeld :) Ref. QVL00EZZF8S2ZGE2/35228","639,17"
19.01.2026,18.01.2026,Lastschrift / Belastung,"Auftraggeber: Apple.com/bill Buchungstext: Apple.com/bill, Dublin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-19 00:00:00 Ref. 6XATOAZTKSZP7G7S/31585","-97,16"
19.01.2026,18.01.2026,Lastschrift / Belastung,"Auftraggeber: FlixBus Buchungstext: FlixBus, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-19 00:00:00 Ref. 01TEE13N3BZT9D31/39022","-15,90"
17.01.2026,15.01.2026,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE20044263778913534220 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Miete Ref. 5P8637ZGF9Q5RDOQ/31553","-448,20"
15.01.2026,15.01.2026,Lastschrift / Belastung,"Auftraggeber: IKEA Buchungstext: IKEA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-15 00:00:00 Ref. R5XQT4P501NOUHTC/66094","-66,41"
12.01.2026,10.01.2026,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE95632131355445991121 BLZ/BIC: CSDBDE71XXX  Buchungstext: Versicherung Ref. BMAE38SRYO4RCB1K/36026","-427,83"
11.01.2026,10.01.2026,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE73925450907620251464 BLZ/BIC: COBADEHD055  Buchungstext: Sparen Ref. KK4CIJ2V2HEIFJFC/40320","349,59"
11.01.2026,10.01.2026,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE80439751014580988943 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Sparen Ref. NCILDZMFB7R31QW6/2491","-362,56"
08.01.2026,08.01.2026,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: PayPal Europe S.a.r.l. et Cie S.C.A, Luxembourg DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-08 00:00:00 Ref. Y9V86WZS3T60RJIW/68328","-62,33"
07.01.2026,06.01.2026,Wertpapiere," Buchungstext: Steuerbelastung auf Vorabpauschale gem. § 18 InvStG Depotbestand: 00 Ref. 0361I2HGJ11YEDWB/57780","-386,99"
04.01.2026,04.01.2026,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE19723857283695776049 BLZ/BIC: DEUTDEFFVAC  Buchungstext: ETF Sparplan Ref. BRSZ1N3IUZGPPOHS/80148","740,39"
02.01.2026,01.01.2026,Lastschrift / Belastung,"Auftraggeber: FlixBus Buchungstext: FlixBus, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-02 00:00:00 Ref. 5RC6ZS62YWE1G983/16540","-114,92"
31.12.2025,31.12.2025,Lastschrift / Belastung,"Auftraggeber: H&M Buchungstext: H&M, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-31 00:00:00 Ref. L8OS9XTOGN1W1HT7/57425","-15,18"
30.12.2025,30.12.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE24319859743472035918 BLZ/BIC: COBADEHD055  Buchungstext: Miete Ref. CQK4LTAHUKWQVR1H/71639","620,36"
29.12.2025,28.12.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE60397578096463876194 BLZ/BIC: COBADEHD055  Buchungstext: Uebertrag auf Girokonto Ref. EFFLZM764JWTEKTS/22104","342,80"
27.12.2025,27.12.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE66195636516371548327 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Miete Ref. PYS280XKXWD8IL3F/6058","233,63"
27.12.2025,27.12.2025,Wertpapiere," Buchungstext: Steuerbelastung auf Vorabpauschale gem. § 18 InvStG Depotbestand: 00 Ref. 55PSQ0OXFQ8MYX44/69943","-251,80"
25.12.2025,24.12.2025,Lastschrift / Belastung,"Auftraggeber: Kleinanzeigen De Buchungstext: Kleinanzeigen De, Kleinmachnow DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-25 00:00:00 Ref. TLCXLVPYMB5M9J98/9836","-40,13"
24.12.2025,24.12.2025,Lastschrift / Belastung,"Auftraggeber: IKEA Buchungstext: IKEA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-24 00:00:00 Ref. KJ49YD82795E5IZ3/99808","-19,62"
17.12.2025,17.12.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE79617257598233710029 BLZ/BIC: CSDBDE71XXX  Buchungstext: Taschengeld :) Ref. 5UQPGB7R3OCWBFUK/32531","-651,25"
15.12.2025,15.12.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE28778851351880188249 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. NQO7YIRQ8RTM4J3D/3598","-88,21"
06.12.2025,06.12.2025,Lastschrift / Belastung,"Auftraggeber: FlixBus Buchungstext: FlixBus, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-06 00:00:00 Ref. IYAZ39PECN0DL5E1/98718","-15,93"
05.12.2025,05.12.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE69615208843104294759 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. 0IT26YS445GDEJ31/23996","760,19"
05.12.2025,03.12.2025,Lastschrift / Belastung,"Auftraggeber: DM-Drogerie Markt Buchungstext: DM-Drogerie Markt, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-05 00:00:00 Ref. K5BXJ2POP8MGYN2J/10829","-33,48"
04.12.2025,04.12.2025,Lastschrift / Belastung,"Auftraggeber: Kleinanzeigen De Buchungstext: Kleinanzeigen De, Kleinmachnow DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-04 00:00:00 Ref. FTG698S4C3BAEWCF/28669","-59,82"
02.12.2025,02.12.2025,Lastschrift / Belastung,"Auftraggeber: FlixBus Buchungstext: FlixBus, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-02 00:00:00 Ref. K8YQK94DNMKZA3OA/89890","-27,38"
26.11.2025,26.11.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE13750214104354267963 BLZ/BIC: COBADEHD055  Buchungstext: Taschengeld :) Ref. 94PDZP6LFEWVZNVK/66264","371,40"
26.11.2025,25.11.2025,Lastschrift / Belastung,"Auftraggeber: MCDONALDS 01425 Buchungstext: MCDONALDS 01425, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-26 00:00:00 Ref. ZIM6CFNFHOLQC3O1/91164","-117,68"
25.11.2025,23.11.2025,Lastschrift / Belastung,"Auftraggeber: Susies Laden Buchungstext: Susies Laden, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-25 00:00:00 Ref. 5BCW790PDW5PY6B2/38453","-77,34"
20.11.2025,20.11.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE30336986730263770441 BLZ/BIC: CSDBDE71XXX  Buchungstext: Miete Ref. 5MN32U1IQ2BAJDM5/21091","598,99"
19.11.2025,18.11.2025,Lastschrift / Belastung,"Auftraggeber: DM-Drogerie Markt Buchungstext: DM-Drogerie Markt, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-19 00:00:00 Ref. 4XYJOA21A6XVAJ2K/92979","-43,51"
15.11.2025,15.11.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE95165948890607956393 BLZ/BIC: PAGMDEM1XXX  Buchungstext: ETF Sparplan Ref. V2XCDYK0X65MUFM8/91552","490,48"
15.11.2025,14.11.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-15 00:00:00 Ref. ZZOILKQXLM5Q201L/26625","-75,89"
15.11.2025,13.11.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE05613279642811734726 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Versicherung Ref. VZK7A45HVGOX22IN/31600","149,12"
14.11.2025,14.11.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-14 00:00:00 Ref. 8AGS6E1ZHWY9HECG/93503","-67,03"
12.11.2025,12.11.2025,Lastschrift / Belastung,"Auftraggeber: Netflix.com Buchungstext: Netflix.com, Amsterdam DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-12 00:00:00 Ref. 7KUU4YTN02YC0MDI/9964","-79,47"
11.11.2025,11.11.2025,Lastschrift / Belastung,"Auftraggeber: H&M Buchungstext: H&M, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-11 00:00:00 Ref. 2C8QIZK3C9XBONRW/92124","-99,61"
10.11.2025,09.11.2025,Lastschrift / Belastung,"Auftraggeber: Apple.com/bill Buchungstext: Apple.com/bill, Dublin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-10 00:00:00 Ref. E9O2M71HSSBELRQV/67569","-103,37"
09.11.2025,09.11.2025,Wertpapiere," Buchungstext: Steuerbelastung auf Vorabpauschale gem. § 18 InvStG Depotbestand: 00 Ref. C4D145BM1ENF313F/57367","-382,96"
08.11.2025,07.11.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE93674253153722023713 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Taschengeld :) Ref. D7Q1DDPUSDDTV25A/54239","-85,62"
06.11.2025,04.11.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-06 00:00:00 Ref. 8V12II826GYUP12S/54875","-5,01"
05.11.2025,03.11.2025,Lastschrift / Belastung,"Auftraggeber: BackWerk Buchungstext: BackWerk, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-05 00:00:00 Ref. 4X1ZHQIMQODPXNF7/8800","-109,14"
04.11.2025,04.11.2025,Lastschrift / Belastung,"Auftraggeber: REWE Berlin-Kreuzberg Buchungstext: REWE Berlin-Kreuzberg, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-11-04 00:00:00 Ref. RPETIUYMO0PQCLPO/83905","-70,29"
01.11.2025,01.11.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE02356290447248108918 BLZ/BIC: PAGMDEM1XXX  Buchungstext: ETF Sparplan Ref. WXUJ3AC6PE63LBQG/75221","374,87"
29.10.2025,29.10.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE05978893931311979619 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Sparen Ref. X3N0KGAZU41UGL3W/83840","287,66"
29.10.2025,27.10.2025,Lastschrift / Belastung,"Auftraggeber: Amazon Buchungstext: Amazon, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-29 00:00:00 Ref. H3FVL03DUT4S7AZV/54998","-106,61"
24.10.2025,24.10.2025,Lastschrift / Belastung,"Auftraggeber: Apple.com/bill Buchungstext: Apple.com/bill, Dublin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-24 00:00:00 Ref. ZV4U3BBXUX1OXRWK/39597","-62,53"
23.10.2025,23.10.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE51351250584540487387 BLZ/BIC: COBADEHD055  Buchungstext: Taschengeld :) Ref. PZTC69QKGEX08N6Q/49480","331,73"
20.10.2025,20.10.2025,Lastschrift / Belastung,"Auftraggeber: MCDONALDS 01425 Buchungstext: MCDONALDS 01425, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-20 00:00:00 Ref. 6LOH25NSJF678K52/61386","-5,42"
20.10.2025,19.10.2025,Lastschrift / Belastung,"Auftraggeber: BackWerk Buchungstext: BackWerk, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-20 00:00:00 Ref. 0NEC8UYO57P6BKLD/66508","-94,68"
20.10.2025,19.10.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-20 00:00:00 Ref. 0ATVZKHIUIT7M1R0/96941","-61,62"
19.10.2025,18.10.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-19 00:00:00 Ref. 5C34DXTAD1IOR56F/283","-2,75"
18.10.2025,17.10.2025,Lastschrift / Belastung,"Auftraggeber: REWE Berlin-Kreuzberg Buchungstext: REWE Berlin-Kreuzberg, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-18 00:00:00 Ref. 97E4UNY181ACJBC2/66403","-85,91"
17.10.2025,17.10.2025,Lastschrift / Belastung,"Auftraggeber: Deutsche Bahn Buchungstext: Deutsche Bahn, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-17 00:00:00 Ref. N3OEUVTYT8QZPKY3/53628","-39,92"
17.10.2025,17.10.2025,Lastschrift / Belastung,"Auftraggeber: Deutsche Bahn Buchungstext: Deutsche Bahn, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-17 00:00:00 Ref. VWRB7F6FDHGZZ0JK/31136","-108,59"
16.10.2025,16.10.2025,Lastschrift / Belastung,"Auftraggeber: CINEVISION FILMTHEATER Buchungstext: CINEVISION FILMTHEATER, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-16 00:00:00 Ref. WWO8NBHNAL3GYWIY/45135","-82,86"
16.10.2025,15.10.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE12304741950521462460 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Taschengeld :) Ref. 8T2SA5BNN0MCIXDU/99180","-201,71"
12.10.2025,12.10.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE75136082509660643541 BLZ/BIC: COBADEHD055  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. PDSWZP6SWK2RV239/46914","577,22"
11.10.2025,11.10.2025,Lastschrift / Belastung,"Auftraggeber: FlixBus Buchungstext: FlixBus, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-11 00:00:00 Ref. WWNC21O0Z5QRU54D/60090","-44,45"
11.10.2025,10.10.2025,Lastschrift / Belastung,"Auftraggeber: IKEA Buchungstext: IKEA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-11 00:00:00 Ref. P89UZFK8UT0CVS4F/66563","-110,47"
08.10.2025,07.10.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-08 00:00:00 Ref. YXR2DHYLURTP0LZJ/32952","-92,57"
08.10.2025,07.10.2025,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE35633162309896449967 BLZ/BIC: PAGMDEM1XXX  Buchungstext: ETF Sparplan Ref. OFN1R4KZ36U8UEIH/84766","109,30"
07.10.2025,07.10.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: PayPal Europe S.a.r.l. et Cie S.C.A, Luxembourg DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-07 00:00:00 Ref. 0VOTQTXHI15CQZCU/8095","-21,38"
07.10.2025,05.10.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-07 00:00:00 Ref. J37C9H42M44GV3Z6/3698","-36,29"
06.10.2025,05.10.2025,Lastschrift / Belastung,"Auftraggeber: MCDONALDS 01425 Buchungstext: MCDONALDS 01425, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-06 00:00:00 Ref. YIE6IVWPVS7HZIOY/39322","-65,59"
05.10.2025,05.10.2025,Lastschrift / Belastung,"Auftraggeber: ALDI Buchungstext: ALDI, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-05 00:00:00 Ref. OYGGVNYRUIWQY6QK/71644","-101,20"
05.10.2025,05.10.2025,Lastschrift / Belastung,"Auftraggeber: Amazon Buchungstext: Amazon, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-05 00:00:00 Ref. ATWYAM1N0LH9P89F/36678","-108,93"
04.10.2025,04.10.2025,Lastschrift / Belastung,"Auftraggeber: H&M Buchungstext: H&M, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-04 00:00:00 Ref. 5IQVNB4GH2M5ZJA8/11222","-91,28"
04.10.2025,02.10.2025,Lastschrift / Belastung,"Auftraggeber: Amazon Buchungstext: Amazon, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-04 00:00:00 Ref. RPJ1EPKYRYBOVAKH/17988","-29,06"
03.10.2025,03.10.2025,Lastschrift / Belastung,"Auftraggeber: Netflix.com Buchungstext: Netflix.com, Amsterdam DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-03 00:00:00 Ref. NQJQIJC1YDMT8VT4/68496","-70,18"
03.10.2025,02.10.2025,Lastschrift / Belastung,"Auftraggeber: FlixBus Buchungstext: FlixBus, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-03 00:00:00 Ref. U8DD22555JXURGOW/89236","-37,45"
02.10.2025,01.10.2025,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-10-02 00:00:00 Ref. UGNEKRCPPRCJIWVH/14022","-103,88"
